product_id,sku,product_name,category,unit_price_cents,is_active,updated_at
1,SKU-0001,Product 1,Accessories,2499,true,2024-01-18
2,SKU-0002,Product 2,Lighting,3999,false,2024-01-30
3,SKU-0003,Product 3,Home,1499,true,2024-01-19
4,SKU-0004,Product 4,Accessories,1499,false,2024-01-02
5,SKU-0005,Product 5,Home,12999,false,2024-01-23
6,SKU-0006,Product 6,Accessories,3999,true,2024-01-16
7,SKU-0007,Product 7,Audio,1499,true,2024-01-28
8,SKU-0008,Product 8,Audio,3999,true,2024-01-17
9,SKU-0009,Product 9,Accessories,999,true,2024-01-14
10,SKU-0010,Product 10,Wearables,999,false,2024-01-26
11,SKU-0011,Product 11,Home,2499,false,2024-01-21
12,SKU-0012,Product 12,Audio,2499,false,2024-01-31
13,SKU-0013,Product 13,Home,12999,false,2024-01-28
14,SKU-0014,Product 14,Lighting,999,true,2024-01-08
15,SKU-0015,Product 15,Home,1499,true,2024-01-14
16,SKU-0016,Product 16,Audio,12999,true,2024-01-15
17,SKU-0017,Product 17,Wearables,12999,true,2024-01-29
18,SKU-0018,Product 18,Audio,999,true,2024-01-26
19,SKU-0019,Product 19,Audio,2499,true,2024-01-12
20,SKU-0020,Product 20,Accessories,1499,true,2024-01-17
21,SKU-0021,Product 21,Accessories,5999,true,2024-01-06
22,SKU-0022,Product 22,Wearables,999,false,2024-01-20
23,SKU-0023,Product 23,Wearables,3999,true,2024-01-08
24,SKU-0024,Product 24,Accessories,12999,true,2024-01-15
25,SKU-0025,Product 25,Home,12999,true,2024-01-29
26,SKU-0026,Product 26,Accessories,2499,true,2024-01-03
27,SKU-0027,Product 27,Accessories,2499,true,2024-01-21
28,SKU-0028,Product 28,Accessories,12999,true,2024-01-15
29,SKU-0029,Product 29,Home,1499,false,2024-01-28
30,SKU-0030,Product 30,Accessories,999,true,2024-01-13
31,SKU-0031,Product 31,Lighting,2499,true,2024-01-23
32,SKU-0032,Product 32,Home,999,false,2024-01-09
33,SKU-0033,Product 33,Audio,5999,true,2024-01-30
34,SKU-0034,Product 34,Lighting,12999,false,2024-01-27
35,SKU-0035,Product 35,Home,1499,true,2024-01-08
36,SKU-0036,Product 36,Wearables,5999,true,2024-01-22
37,SKU-0037,Product 37,Wearables,12999,true,2024-01-29
38,SKU-0038,Product 38,Audio,2499,false,2024-01-02
39,SKU-0039,Product 39,Lighting,2499,true,2024-01-03
40,SKU-0040,Product 40,Home,2499,false,2024-01-06
41,SKU-0041,Product 41,Wearables,1499,true,2024-01-17
42,SKU-0042,Product 42,Lighting,2499,true,2024-01-09
43,SKU-0043,Product 43,Accessories,2499,true,2024-01-26
44,SKU-0044,Product 44,Audio,3999,true,2024-01-05
45,SKU-0045,Product 45,Wearables,12999,false,2024-01-31
46,SKU-0046,Product 46,Lighting,2499,true,2024-01-26
47,SKU-0047,Product 47,Accessories,999,true,2024-01-18
48,SKU-0048,Product 48,Audio,3999,true,2024-01-22
49,SKU-0049,Product 49,Home,5999,false,2024-01-27
50,SKU-0050,Product 50,Home,999,true,2024-01-16
51,SKU-0051,Product 51,Audio,5999,true,2024-01-30
52,SKU-0052,Product 52,Lighting,1499,true,2024-01-21
53,SKU-0053,Product 53,Accessories,12999,true,2024-01-21
54,SKU-0054,Product 54,Accessories,999,true,2024-01-02
55,SKU-0055,Product 55,Audio,2499,false,2024-01-04
56,SKU-0056,Product 56,Audio,1499,true,2024-01-13
57,SKU-0057,Product 57,Accessories,2499,false,2024-01-19
58,SKU-0058,Product 58,Wearables,3999,true,2024-01-27
59,SKU-0059,Product 59,Accessories,5999,false,2024-01-31
60,SKU-0060,Product 60,Home,999,true,2024-01-07
